d1, ax, ay, az, axL, azL, ts
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 91.23125
0.00000, 273.00000, 325.00000, 328.00000, 321.00000, 410.00000, 91.24917
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 91.26273
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 91.28194
0.00000, 272.00000, 325.00000, 328.00000, 321.00000, 412.00000, 91.29809
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 91.31523
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 410.00000, 91.33090
0.00000, 271.00000, 325.00000, 327.00000, 322.00000, 411.00000, 91.34803
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 91.36371
0.00000, 271.00000, 326.00000, 327.00000, 321.00000, 411.00000, 91.38312
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 410.00000, 91.40001
0.00000, 273.00000, 325.00000, 327.00000, 321.00000, 410.00000, 91.41295
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 412.00000, 91.42916
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 91.44432
0.00000, 273.00000, 326.00000, 329.00000, 321.00000, 411.00000, 91.46375
0.00000, 273.00000, 327.00000, 328.00000, 322.00000, 411.00000, 91.48044
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 91.50437
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 412.00000, 91.52970
0.00000, 272.00000, 325.00000, 328.00000, 321.00000, 411.00000, 91.54638
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 91.56959
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 91.58920
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 91.60719
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 412.00000, 91.63153
0.00000, 273.00000, 326.00000, 327.00000, 322.00000, 411.00000, 91.64758
0.00000, 272.00000, 325.00000, 329.00000, 322.00000, 410.00000, 91.66217
0.00000, 272.00000, 325.00000, 327.00000, 322.00000, 411.00000, 91.68852
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 91.70917
0.00000, 271.00000, 326.00000, 328.00000, 322.00000, 411.00000, 91.72728
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 410.00000, 91.75047
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 91.76897
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 91.78720
0.00000, 272.00000, 326.00000, 329.00000, 322.00000, 410.00000, 91.81022
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 91.83384
0.00000, 273.00000, 327.00000, 328.00000, 321.00000, 411.00000, 91.85293
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 91.87962
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 410.00000, 91.91143
0.00000, 273.00000, 326.00000, 328.00000, 321.00000, 411.00000, 91.93077
0.00000, 272.00000, 326.00000, 329.00000, 321.00000, 411.00000, 91.95512
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 91.97231
0.00000, 272.00000, 326.00000, 329.00000, 321.00000, 411.00000, 91.98858
