d1, ax, ay, az, axL, azL, ts
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 412.00000, 614.54249
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 614.55916
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 614.57576
0.00000, 273.00000, 327.00000, 326.00000, 323.00000, 411.00000, 614.59010
0.00000, 273.00000, 326.00000, 327.00000, 323.00000, 411.00000, 614.60490
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 614.61930
0.00000, 272.00000, 326.00000, 326.00000, 323.00000, 411.00000, 614.63227
0.00000, 273.00000, 326.00000, 327.00000, 323.00000, 411.00000, 614.64935
0.00000, 273.00000, 326.00000, 326.00000, 324.00000, 412.00000, 614.66380
0.00000, 273.00000, 326.00000, 326.00000, 324.00000, 412.00000, 614.68563
0.00000, 272.00000, 326.00000, 327.00000, 324.00000, 412.00000, 614.70033
0.00000, 273.00000, 326.00000, 325.00000, 322.00000, 412.00000, 614.71174
0.00000, 273.00000, 327.00000, 326.00000, 324.00000, 412.00000, 614.72796
0.00000, 272.00000, 325.00000, 325.00000, 323.00000, 411.00000, 614.74731
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 412.00000, 614.76976
0.00000, 273.00000, 326.00000, 325.00000, 322.00000, 411.00000, 614.78361
0.00000, 273.00000, 326.00000, 325.00000, 326.00000, 411.00000, 614.79791
0.00000, 272.00000, 326.00000, 325.00000, 323.00000, 411.00000, 614.82218
0.00000, 273.00000, 327.00000, 326.00000, 324.00000, 411.00000, 614.83821
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 614.85212
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 614.86668
0.00000, 273.00000, 326.00000, 326.00000, 322.00000, 412.00000, 614.88295
0.00000, 273.00000, 327.00000, 327.00000, 323.00000, 412.00000, 614.90074
0.00000, 273.00000, 326.00000, 325.00000, 323.00000, 411.00000, 614.96958
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 614.98670
0.00000, 273.00000, 326.00000, 326.00000, 322.00000, 411.00000, 615.00159
0.00000, 272.00000, 327.00000, 325.00000, 323.00000, 412.00000, 615.01903
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.04282
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.08047
0.00000, 275.00000, 325.00000, 326.00000, 323.00000, 411.00000, 615.09624
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.11179
0.00000, 272.00000, 325.00000, 326.00000, 323.00000, 411.00000, 615.13133
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.14585
0.00000, 272.00000, 326.00000, 325.00000, 322.00000, 412.00000, 615.16291
0.00000, 272.00000, 325.00000, 325.00000, 323.00000, 411.00000, 615.17891
0.00000, 273.00000, 326.00000, 327.00000, 323.00000, 410.00000, 615.19615
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 410.00000, 615.21205
0.00000, 272.00000, 326.00000, 325.00000, 323.00000, 411.00000, 615.22435
0.00000, 273.00000, 326.00000, 325.00000, 323.00000, 411.00000, 615.23948
0.00000, 273.00000, 326.00000, 326.00000, 322.00000, 412.00000, 615.25667
0.00000, 272.00000, 325.00000, 325.00000, 323.00000, 411.00000, 615.27394
0.00000, 274.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.29282
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 412.00000, 615.30487
0.00000, 273.00000, 325.00000, 326.00000, 322.00000, 410.00000, 615.32202
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.33892
0.00000, 273.00000, 325.00000, 325.00000, 323.00000, 411.00000, 615.35786
0.00000, 273.00000, 326.00000, 327.00000, 323.00000, 412.00000, 615.37260
0.00000, 273.00000, 326.00000, 327.00000, 323.00000, 411.00000, 615.38441
0.00000, 273.00000, 326.00000, 327.00000, 322.00000, 412.00000, 615.39565
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.40688
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 410.00000, 615.42135
0.00000, 273.00000, 326.00000, 325.00000, 322.00000, 410.00000, 615.43273
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 412.00000, 615.44867
0.00000, 273.00000, 326.00000, 325.00000, 322.00000, 411.00000, 615.46455
0.00000, 273.00000, 326.00000, 325.00000, 323.00000, 412.00000, 615.48977
0.00000, 272.00000, 325.00000, 325.00000, 323.00000, 410.00000, 615.50968
0.00000, 272.00000, 326.00000, 325.00000, 323.00000, 410.00000, 615.52778
0.00000, 272.00000, 325.00000, 325.00000, 323.00000, 411.00000, 615.55249
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 412.00000, 615.56848
0.00000, 273.00000, 326.00000, 326.00000, 322.00000, 413.00000, 615.58675
0.00000, 273.00000, 326.00000, 325.00000, 323.00000, 411.00000, 615.60312
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.61927
0.00000, 273.00000, 326.00000, 326.00000, 324.00000, 411.00000, 615.63694
0.00000, 273.00000, 326.00000, 327.00000, 323.00000, 412.00000, 615.65218
0.00000, 273.00000, 326.00000, 327.00000, 323.00000, 412.00000, 615.66795
0.00000, 272.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.68401
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 412.00000, 615.69959
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.71527
0.00000, 273.00000, 325.00000, 326.00000, 323.00000, 411.00000, 615.73223
0.00000, 272.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.74985
0.00000, 274.00000, 326.00000, 326.00000, 323.00000, 410.00000, 615.77268
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 412.00000, 615.79354
0.00000, 272.00000, 325.00000, 325.00000, 323.00000, 411.00000, 615.81457
0.00000, 273.00000, 326.00000, 326.00000, 322.00000, 412.00000, 615.83058
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 412.00000, 615.84511
0.00000, 273.00000, 326.00000, 327.00000, 324.00000, 411.00000, 615.85925
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.87649
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.89515
0.00000, 273.00000, 326.00000, 326.00000, 322.00000, 411.00000, 615.91171
0.00000, 273.00000, 326.00000, 325.00000, 323.00000, 411.00000, 615.92873
0.00000, 273.00000, 326.00000, 325.00000, 323.00000, 411.00000, 615.94468
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 615.96001
0.00000, 273.00000, 326.00000, 327.00000, 323.00000, 412.00000, 615.97712
0.00000, 273.00000, 325.00000, 325.00000, 323.00000, 411.00000, 615.99458
0.00000, 274.00000, 326.00000, 326.00000, 324.00000, 412.00000, 616.00700
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 411.00000, 616.02084
0.00000, 272.00000, 326.00000, 326.00000, 323.00000, 411.00000, 616.03808
0.00000, 272.00000, 326.00000, 326.00000, 323.00000, 411.00000, 616.05385
0.00000, 272.00000, 326.00000, 325.00000, 323.00000, 411.00000, 616.07142
0.00000, 273.00000, 326.00000, 327.00000, 323.00000, 412.00000, 616.08849
0.00000, 273.00000, 326.00000, 326.00000, 323.00000, 410.00000, 616.10707
